cultivar,program,region,date,year,gdd_cumulative,brix,ta,ph,brix_ta_ratio,berry_weight_g,berry_size_mm,n_samples,n_sites,provenance
Cayuga White,Veraison to Harvest,Finger Lakes,2025-08-31,2025,1849.0,14.9,13.01,2.88,1.17,,,5,3,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2025-09-08,2025,1958.0,17.2,9.66,2.92,1.79,,,4,3,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2025-09-17,2025,2053.0,18.1,8.55,3.07,2.13,,,3,3,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2025-09-24,2025,2139.0,19.4,7.71,3.13,2.52,,,3,3,Extension monitoring
Cayuga White,Veraison to Harvest,Finger Lakes,2025-10-06,2025,2238.0,20.9,7.11,3.21,2.95,,,3,2,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2024-07-01,2024,968.0,3.7,21.63,3.03,0.17,0.31,10.3,1,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2024-07-16,2024,1256.0,3.6,31.45,2.83,0.11,0.7,12.3,1,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2024-07-31,2024,1512.0,4.7,37.16,2.85,0.13,0.81,12.8,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2024-08-12,2024,1716.0,7.7,22.53,2.98,0.35,0.95,12.0,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2024-08-28,2024,1958.0,16.3,12.06,3.04,1.36,1.38,14.2,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2024-09-09,2024,2111.0,19.2,8.76,3.13,2.19,1.71,16.2,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2024-09-17,2024,2226.0,20.3,8.94,3.09,2.27,1.58,16.0,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2025-07-06,2025,980.0,5.1,27.96,3.04,0.18,0.29,,1,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2025-07-20,2025,1248.0,3.8,32.95,2.84,0.12,0.74,13.4,1,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2025-08-03,2025,1486.0,4.3,37.3,2.98,0.12,0.77,13.3,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2025-08-20,2025,1786.0,12.6,12.33,3.06,1.03,1.0,14.3,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2025-09-04,2025,1980.0,17.4,7.94,3.18,2.21,1.61,16.3,5,1,Extension monitoring
Chardonnay,NYWGF,Finger Lakes,2025-09-17,2025,2134.0,20.2,5.69,3.42,3.56,1.58,16.1,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-07-01,2024,1013.0,3.6,19.12,2.88,0.19,0.44,10.2,1,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-07-18,2024,1321.0,3.4,25.97,3.02,0.13,0.88,12.5,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-07-30,2024,1523.0,4.5,29.77,2.92,0.15,0.98,12.5,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-08-13,2024,1765.0,9.2,23.23,2.92,0.4,1.3,13.1,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-08-26,2024,1957.0,15.1,14.18,3.14,1.07,1.34,13.3,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-09-09,2024,2163.0,18.6,8.77,3.41,2.13,1.98,15.6,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-09-16,2024,2269.0,19.5,6.61,3.58,2.94,1.82,13.9,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2024-09-23,2024,2381.0,19.5,5.32,3.81,3.67,1.82,13.6,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2025-07-07,2025,1005.0,4.0,22.02,3.0,0.18,,,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2025-07-24,2025,1302.0,4.1,27.73,2.89,0.15,,,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2025-08-07,2025,1543.0,4.4,31.93,2.86,0.14,,,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2025-08-19,2025,1766.0,9.5,20.57,3.0,0.46,,,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2025-09-08,2025,2013.0,16.1,10.83,3.3,1.49,1.3,13.8,5,1,Extension monitoring
Chardonnay,NYWGF,Western NY,2025-09-22,2025,2200.0,18.8,8.09,3.39,2.33,1.71,15.1,5,1,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1875.0,16.5,12.16,2.95,1.44,,,3,3,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2024-09-02,2024,1975.0,17.6,11.02,3.06,1.61,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2024-09-07,2024,2044.0,19.6,8.72,3.12,2.32,,,4,3,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2024-09-16,2024,2158.0,20.9,7.86,3.15,2.74,,,3,3,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2024-09-23,2024,2258.0,23.0,6.65,3.24,3.5,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2025-08-27,2025,1836.0,15.4,14.3,2.87,1.11,,,4,3,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2025-09-05,2025,1948.0,19.1,10.2,2.99,1.9,,,5,3,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2025-09-15,2025,2056.0,20.8,8.4,3.1,2.53,,,3,3,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2025-09-22,2025,2140.0,21.9,7.54,3.19,2.93,,,3,3,Extension monitoring
Chardonnay,Veraison to Harvest,Finger Lakes,2025-09-29,2025,2242.0,22.9,6.98,3.23,3.32,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Hudson Valley,2024-08-26,2024,2028.0,16.4,10.3,3.24,1.59,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Hudson Valley,2024-09-02,2024,2145.0,19.1,8.5,3.43,2.25,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Hudson Valley,2024-09-09,2024,2225.0,18.0,7.08,3.6,2.54,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Hudson Valley,2024-09-16,2024,2321.0,19.7,6.4,3.74,3.08,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Hudson Valley,2025-08-25,2025,1980.0,17.4,10.12,3.33,1.72,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Hudson Valley,2025-09-02,2025,2075.0,19.2,8.4,3.4,2.29,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2024-08-26,2024,1995.0,14.1,17.42,2.95,0.81,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2024-09-02,2024,2116.0,17.7,10.53,3.15,1.68,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2024-09-09,2024,2207.0,17.4,12.23,3.15,1.42,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2024-09-16,2024,2314.0,20.0,8.3,3.27,2.41,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2024-09-23,2024,2427.0,19.0,7.8,3.47,2.44,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2025-08-25,2025,1880.0,10.6,23.32,2.82,0.45,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2025-09-02,2025,1971.0,14.0,19.2,2.89,0.73,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2025-09-08,2025,2043.0,16.6,10.49,3.08,1.58,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2025-09-15,2025,2130.0,18.9,10.25,3.15,1.84,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2025-09-22,2025,2231.0,18.4,11.35,3.15,1.62,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Lake Erie,2025-09-29,2025,2328.0,22.7,5.51,3.47,4.12,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2024-08-26,2024,2007.0,15.8,14.14,3.06,1.12,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2024-09-02,2024,2128.0,18.2,11.52,3.2,1.58,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2024-09-09,2024,2217.0,19.8,10.49,3.25,1.89,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2024-09-16,2024,2311.0,20.9,9.4,3.27,2.22,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2024-09-23,2024,2413.0,21.8,7.95,3.42,2.74,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2025-08-25,2025,1984.0,15.4,12.65,3.18,1.22,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2025-09-02,2025,2094.0,17.4,10.3,3.13,1.69,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2025-09-08,2025,2178.0,19.0,8.61,3.25,2.2,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2025-09-15,2025,2272.0,20.0,8.2,3.27,2.43,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2025-09-22,2025,2366.0,20.5,7.4,3.35,2.77,,,2,2,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2025-09-29,2025,2476.0,20.9,7.16,3.4,2.92,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Long Island,2025-10-06,2025,2560.0,20.9,6.51,3.5,3.21,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Niagara,2025-08-25,2025,1855.0,16.6,12.08,2.89,1.37,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Niagara,2025-09-02,2025,1949.0,18.5,10.2,2.98,1.81,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Niagara,2025-09-08,2025,2019.0,19.4,8.84,3.07,2.19,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Niagara,2025-09-15,2025,2108.0,21.0,7.57,3.11,2.77,,,1,1,Extension monitoring
Chardonnay,Veraison to Harvest,Niagara,2025-09-22,2025,2203.0,22.5,6.16,3.23,3.65,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1793.0,12.2,11.97,2.94,1.02,,,2,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2024-09-02,2024,1894.0,13.3,9.36,3.0,1.42,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2024-09-06,2024,1948.0,14.4,6.68,3.19,2.21,,,3,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2024-09-16,2024,2066.0,16.2,5.02,3.24,3.24,,,2,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2024-09-23,2024,2160.0,16.8,3.85,3.4,4.42,,,2,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2024-09-30,2024,2242.0,17.1,4.8,3.37,3.58,,,2,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2025-08-25,2025,1730.0,10.2,18.75,2.65,0.54,,,2,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2025-09-05,2025,1843.0,12.9,10.39,2.91,1.33,,,4,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2025-09-15,2025,1951.0,15.7,6.3,3.12,2.52,,,2,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2025-09-22,2025,2030.0,16.2,4.92,3.22,3.28,,,2,2,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2025-09-29,2025,2135.0,16.9,4.21,3.34,4.01,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Finger Lakes,2025-10-06,2025,2209.0,17.8,5.18,3.35,3.44,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2024-08-26,2024,1971.0,12.1,15.92,2.85,0.76,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2024-09-02,2024,2091.0,14.4,12.65,3.11,1.14,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2024-09-09,2024,2179.0,16.4,12.14,3.19,1.35,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2024-09-16,2024,2286.0,17.6,8.9,3.17,1.98,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2024-09-23,2024,2398.0,18.6,9.8,3.35,1.9,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2025-08-25,2025,1863.0,9.3,22.82,2.72,0.41,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2025-09-02,2025,1953.0,11.9,16.2,2.93,0.73,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2025-09-08,2025,2024.0,12.8,13.19,3.06,0.97,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2025-09-15,2025,2111.0,14.3,11.79,3.2,1.21,,,1,1,Extension monitoring
Concord,Veraison to Harvest,Lake Erie,2025-09-22,2025,2212.0,16.1,10.08,3.18,1.6,,,1,1,Extension monitoring
Elvira,NYWGF,Western NY,2024-07-01,2024,1021.0,3.5,25.99,2.82,0.13,0.92,12.7,1,1,Extension monitoring
Elvira,NYWGF,Western NY,2024-07-18,2024,1330.0,4.3,33.29,2.91,0.13,1.48,14.8,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2024-07-30,2024,1534.0,5.2,35.52,2.84,0.15,1.58,15.1,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2024-08-13,2024,1778.0,8.5,33.0,2.75,0.26,1.98,15.8,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2024-08-26,2024,1971.0,13.0,16.51,3.03,0.79,2.18,15.6,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2024-09-09,2024,2180.0,17.4,11.46,3.16,1.52,2.36,16.3,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2024-09-12,2024,2221.0,16.0,9.44,3.19,1.7,,,10,1,Extension monitoring
Elvira,NYWGF,Western NY,2025-07-07,2025,1011.0,4.0,30.07,2.92,0.13,,,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2025-07-24,2025,1310.0,4.4,33.6,2.8,0.13,,,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2025-08-07,2025,1552.0,5.7,37.21,2.78,0.15,,,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2025-08-19,2025,1776.0,9.1,24.64,2.93,0.37,,,5,1,Extension monitoring
Elvira,NYWGF,Western NY,2025-09-08,2025,2024.0,12.4,13.98,3.06,0.89,1.64,15.2,5,1,Extension monitoring
Elvira,Veraison to Harvest,Lake Erie,2024-08-26,2024,1971.0,13.7,15.2,2.87,0.9,,,1,1,Extension monitoring
Elvira,Veraison to Harvest,Lake Erie,2024-09-02,2024,2091.0,16.0,11.09,3.1,1.44,,,1,1,Extension monitoring
Elvira,Veraison to Harvest,Lake Erie,2024-09-09,2024,2179.0,16.7,9.71,3.16,1.72,,,1,1,Extension monitoring
Elvira,Veraison to Harvest,Lake Erie,2025-08-25,2025,1863.0,10.9,21.91,2.73,0.5,,,1,1,Extension monitoring
Elvira,Veraison to Harvest,Lake Erie,2025-09-02,2025,1953.0,13.5,13.2,2.9,1.02,,,1,1,Extension monitoring
Elvira,Veraison to Harvest,Lake Erie,2025-09-08,2025,2024.0,13.9,14.87,2.95,0.93,,,1,1,Extension monitoring
Elvira,Veraison to Harvest,Lake Erie,2025-09-15,2025,2111.0,16.5,12.22,3.09,1.35,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Champlain Valley,2024-08-26,2024,1940.0,22.4,13.86,3.05,1.62,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Champlain Valley,2024-09-02,2024,2042.0,24.6,18.08,3.14,1.36,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Champlain Valley,2025-08-25,2025,1816.0,15.2,19.9,2.76,0.76,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Champlain Valley,2025-09-05,2025,1954.0,18.6,17.18,2.9,1.08,,,2,1,Extension monitoring
Frontenac,Veraison to Harvest,Champlain Valley,2025-09-15,2025,2072.0,19.8,13.66,2.96,1.45,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Champlain Valley,2025-09-22,2025,2143.0,23.4,14.09,3.12,1.66,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Champlain Valley,2025-09-29,2025,2238.0,20.8,12.31,3.11,1.69,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2024-08-26,2024,1912.0,15.0,20.68,2.89,0.73,,,1,1,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2024-09-02,2024,2058.0,18.4,17.01,2.99,1.08,,,2,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2024-09-09,2024,2162.0,18.8,16.11,3.06,1.16,,,2,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2024-09-16,2024,2245.0,20.6,14.65,3.1,1.42,,,2,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2024-09-23,2024,2353.0,22.1,14.82,3.13,1.49,,,3,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2025-08-29,2025,1848.0,19.9,18.34,3.03,1.1,,,2,1,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2025-09-01,2025,1980.0,20.8,16.43,3.12,1.27,,,2,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2025-09-08,2025,2066.0,22.8,15.08,3.2,1.52,,,2,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2025-09-15,2025,2143.0,23.8,13.78,3.22,1.73,,,2,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2025-09-26,2025,2249.0,23.0,12.86,3.29,1.78,,,3,2,Extension monitoring
Frontenac,Veraison to Harvest,Hudson Valley,2025-10-13,2025,2323.0,21.7,13.08,3.34,1.66,,,1,1,Extension monitoring
Frontenac Gris,Veraison to Harvest,Champlain Valley,2024-08-26,2024,1940.0,22.4,16.58,2.99,1.35,,,1,1,Extension monitoring
Frontenac Gris,Veraison to Harvest,Champlain Valley,2024-09-02,2024,2042.0,24.0,16.67,3.08,1.44,,,1,1,Extension monitoring
Frontenac Gris,Veraison to Harvest,Champlain Valley,2025-08-25,2025,1816.0,13.7,20.51,2.74,0.67,,,1,1,Extension monitoring
Frontenac Gris,Veraison to Harvest,Champlain Valley,2025-09-05,2025,1954.0,15.7,17.06,2.86,0.92,,,2,1,Extension monitoring
Frontenac Gris,Veraison to Harvest,Champlain Valley,2025-09-15,2025,2072.0,17.3,13.99,2.86,1.24,,,1,1,Extension monitoring
Frontenac Gris,Veraison to Harvest,Champlain Valley,2025-09-22,2025,2143.0,19.7,13.2,3.06,1.49,,,1,1,Extension monitoring
Frontenac Gris,Veraison to Harvest,Champlain Valley,2025-09-29,2025,2238.0,18.0,11.23,3.05,1.6,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2024-08-26,2024,2028.0,13.4,9.38,3.16,1.43,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2024-09-02,2024,2145.0,14.6,8.96,3.33,1.63,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2024-09-09,2024,2225.0,17.2,7.38,3.44,2.33,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2024-09-16,2024,2321.0,18.0,6.5,3.51,2.77,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2024-09-23,2024,2416.0,19.6,6.4,3.57,3.06,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2024-09-30,2024,2503.0,20.6,5.97,3.6,3.45,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2025-08-25,2025,1980.0,15.4,11.77,3.17,1.31,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2025-09-02,2025,2075.0,17.5,10.8,3.24,1.62,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2025-09-08,2025,2157.0,19.2,7.71,3.36,2.49,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2025-09-15,2025,2244.0,20.0,8.48,3.27,2.36,,,1,1,Extension monitoring
Gamay Noir,Veraison to Harvest,Hudson Valley,2025-09-22,2025,2328.0,22.7,7.1,3.46,3.2,,,1,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2024-06-30,2024,925.0,3.4,19.57,3.04,0.17,0.21,8.8,1,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2024-07-16,2024,1256.0,3.6,32.96,2.8,0.11,0.63,11.2,1,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2024-07-31,2024,1512.0,5.9,38.32,2.81,0.15,0.75,12.4,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2024-08-12,2024,1716.0,13.9,14.8,2.96,0.96,1.24,15.0,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2024-08-28,2024,1958.0,18.0,8.48,3.14,2.18,1.61,14.4,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2024-09-09,2024,2111.0,20.1,6.52,3.28,3.11,1.71,15.0,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2024-09-20,2024,2270.0,21.1,6.65,3.34,3.18,1.87,15.7,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2025-07-06,2025,946.0,5.2,33.44,3.0,0.16,0.24,,1,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2025-07-20,2025,1208.0,3.6,29.96,2.86,0.12,0.72,13.0,1,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2025-07-30,2025,1387.0,3.8,36.48,2.99,0.1,0.81,13.5,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2025-08-19,2025,1717.0,13.4,12.28,3.1,1.09,1.26,15.4,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2025-09-04,2025,1916.0,18.5,6.2,3.36,3.02,1.79,15.4,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2025-09-18,2025,2077.0,21.2,3.88,3.72,5.5,1.91,15.6,5,1,Extension monitoring
Gewurztraminer,NYWGF,Finger Lakes,2025-09-29,2025,2216.0,22.1,4.47,3.75,4.95,1.81,14.9,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2024-07-01,2024,1013.0,3.4,17.77,2.84,0.19,0.28,9.0,1,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2024-07-18,2024,1321.0,3.5,24.42,3.04,0.14,0.76,12.1,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2024-07-30,2024,1523.0,4.2,27.65,2.95,0.15,0.86,12.5,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2024-08-13,2024,1765.0,9.1,18.77,2.98,0.5,1.18,12.7,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2024-08-26,2024,1957.0,16.2,8.54,3.42,1.96,1.72,14.2,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2024-09-09,2024,2163.0,20.0,5.35,3.82,3.78,1.86,14.6,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2024-09-16,2024,2269.0,21.3,4.07,3.94,5.28,1.64,12.7,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2025-07-07,2025,1005.0,4.2,22.21,2.95,0.19,,,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2025-07-24,2025,1302.0,3.8,24.93,2.92,0.15,,,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2025-08-07,2025,1543.0,4.0,26.57,2.93,0.15,,,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2025-08-19,2025,1766.0,10.9,14.45,3.16,0.75,,,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2025-09-08,2025,2013.0,18.7,6.37,3.61,2.94,1.45,14.3,5,1,Extension monitoring
Gewurztraminer,NYWGF,Western NY,2025-09-22,2025,2200.0,20.2,5.52,3.67,3.66,1.34,13.9,5,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2024-08-26,2024,1995.0,16.6,9.32,3.18,1.78,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2024-09-02,2024,2116.0,18.2,8.47,3.33,2.15,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2024-09-09,2024,2207.0,20.5,5.94,3.49,3.45,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2024-09-16,2024,2314.0,21.6,6.0,3.48,3.6,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2025-08-25,2025,1880.0,13.7,13.27,2.98,1.03,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2025-09-02,2025,1971.0,16.8,9.8,3.12,1.71,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2025-09-08,2025,2043.0,17.8,8.67,3.24,2.05,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2025-09-15,2025,2130.0,19.4,6.75,3.26,2.87,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2025-09-22,2025,2231.0,20.9,6.6,3.34,3.17,,,1,1,Extension monitoring
Gewurztraminer,Veraison to Harvest,Lake Erie,2025-09-29,2025,2328.0,21.7,6.54,3.5,3.32,,,1,1,Extension monitoring
Itasca,Veraison to Harvest,Hudson Valley,2024-08-26,2024,1912.0,18.8,13.24,3.14,1.42,,,1,1,Extension monitoring
Itasca,Veraison to Harvest,Hudson Valley,2024-09-05,2024,2055.0,21.3,11.74,3.32,1.82,,,2,1,Extension monitoring
Itasca,Veraison to Harvest,Hudson Valley,2024-09-30,2024,2355.0,25.0,11.1,3.34,2.25,,,1,1,Extension monitoring
Itasca,Veraison to Harvest,Hudson Valley,2025-08-29,2025,1848.0,21.9,12.26,3.26,1.81,,,2,1,Extension monitoring
Itasca,Veraison to Harvest,Hudson Valley,2025-09-08,2025,1967.0,23.8,10.13,3.44,2.35,,,1,1,Extension monitoring
Itasca,Veraison to Harvest,Hudson Valley,2025-09-15,2025,2046.0,25.2,10.09,3.52,2.5,,,1,1,Extension monitoring
Itasca,Veraison to Harvest,Hudson Valley,2025-09-22,2025,2119.0,28.5,9.89,3.5,2.88,,,1,1,Extension monitoring
Ives,NYWGF,Western NY,2024-07-01,2024,1021.0,3.6,27.17,2.71,0.13,1.08,13.6,1,1,Extension monitoring
Ives,NYWGF,Western NY,2024-07-18,2024,1330.0,3.8,33.15,2.87,0.12,1.9,16.0,5,1,Extension monitoring
Ives,NYWGF,Western NY,2024-07-30,2024,1534.0,5.4,37.84,2.82,0.14,2.12,16.3,5,1,Extension monitoring
Ives,NYWGF,Western NY,2024-08-13,2024,1778.0,7.3,22.77,2.8,0.32,2.44,15.5,5,1,Extension monitoring
Ives,NYWGF,Western NY,2024-08-26,2024,1971.0,12.9,16.08,2.96,0.81,2.24,13.7,5,1,Extension monitoring
